fecha;provincia;Personas en centros residenciales;Mortalidad en residencias;Fallecidos con COVID19 confirmado;Fallecidos con síntomas compatibles;Confirmados con COVID19;Aislados con síntomas compatibles con COVID19;En aislamiento preventivo sin síntomas;codigo_ine
2020-04-19;Zamora;4429;165;37;55;170;83;574;49275
2020-04-20;Salamanca;6490;511;163;195;602;319;1093;37274
2020-04-20;Valladolid;7097;471;191;126;1074;170;486;47186
2020-04-21;León;7112;507;146;175;628;139;395;24089
2020-04-21;Segovia;2427;439;161;202;466;145;576;40004
2020-04-22;Burgos;6592;368;111;101;660;125;811;9059
2020-04-22;León;7150;541;149;176;631;152;444;24089
2020-04-22;Valladolid;7042;529;214;125;1063;173;469;47186
2020-04-23;Soria;2211;244;91;87;562;75;595;42173
2020-04-24;Palencia;4183;160;41;35;245;66;569;34120
2020-04-24;Segovia;2399;459;168;202;515;127;568;40004
2020-04-24;Soria;2202;246;91;87;580;66;599;42173
2020-04-25;Burgos;6517;384;125;101;740;93;755;9059
2020-04-25;Segovia;2390;460;171;202;521;114;538;40004
2020-04-28;Soria;2193;262;97;87;576;56;600;42173
2020-04-30;Burgos;6487;415;139;101;781;56;795;9059
2020-05-01;Segovia;2381;492;172;204;623;81;478;40004
2020-05-01;Soria;2188;271;101;88;579;43;596;42173
2020-05-02;Palencia;4179;183;47;36;265;44;468;34120
2020-05-04;León;6986;672;192;184;827;37;664;24089
2020-05-05;Valladolid;6899;642;264;122;1074;140;622;47186
2020-05-06;Ávila;3469;326;111;83;476;61;321;5019
2020-05-07;León;6966;697;201;185;865;32;540;24089
2020-05-08;León;6967;699;205;185;865;32;532;24089
2020-05-10;Burgos;6446;493;164;104;808;51;507;9059
2020-05-11;Valladolid;6877;676;271;124;1056;111;557;47186
2020-05-12;Segovia;2365;517;182;198;776;28;334;40004
2020-05-12;Zamora;4323;246;57;63;244;24;296;49275
2020-05-14;Palencia;4155;206;51;36;295;10;300;34120
2020-05-15;Palencia;4157;207;51;36;308;12;273;34120
2020-05-17;Zamora;4311;254;58;63;267;20;113;49275
2020-05-18;Segovia;2368;525;183;199;841;7;271;40004
2020-05-20;Burgos;6379;523;170;108;891;37;372;9059
2020-05-20;Valladolid;6816;716;282;125;1048;26;574;47186
2020-05-21;Soria;2167;306;108;92;692;2;205;42173
2020-05-21;Valladolid;6815;725;283;125;1048;18;583;47186
2020-05-23;Burgos;6375;532;170;109;969;20;300;9059
2020-05-23;Valladolid;6815;737;286;125;1044;19;448;47186
2020-05-24;Segovia;2372;532;187;196;863;5;186;40004
2020-05-24;Soria;2169;306;108;92;706;2;149;42173
2020-05-24;Zamora;4202;272;58;63;317;10;86;49275
2020-05-26;Burgos;6367;538;170;109;976;18;281;9059
2020-05-26;Segovia;2370;535;187;196;865;8;162;40004
2020-05-29;Ávila;3423;383;120;85;580;6;142;5019
2020-05-29;Palencia;4111;243;53;36;327;4;40;34120
2020-05-29;Zamora;4200;281;59;63;318;4;49;49275
2020-06-02;Segovia;2347;544;190;197;868;5;17;40004
2020-06-03;León;6913;840;217;188;1046;10;112;24089
2020-06-08;Ávila;3407;385;125;85;582;4;184;5019
2020-06-08;Segovia;2357;544;190;197;869;1;17;40004
2020-06-08;Soria;2170;309;109;93;734;0;96;42173
2020-06-09;Burgos;6325;551;171;109;1027;4;94;9059
2020-06-09;Soria;2172;309;109;93;734;0;100;42173
2020-06-10;Burgos;6324;551;171;109;1030;5;95;9059
2020-06-10;Palencia;4100;246;54;36;322;2;32;34120
2020-06-10;Salamanca;6227;810;260;207;1093;7;110;37274
2020-06-11;Soria;2167;309;109;93;733;0;98;42173
2020-06-12;León;6912;909;218;189;1060;4;92;24089
2020-06-15;Segovia;2361;562;190;197;864;0;26;40004
2020-06-16;León;6901;909;218;190;1054;7;80;24089
2020-06-16;Salamanca;6235;858;260;207;1089;6;64;37274
2020-06-16;Soria;2170;322;109;93;732;0;62;42173
2020-06-17;Burgos;6340;589;171;109;1021;2;38;9059
2020-06-17;Segovia;2377;562;190;197;864;3;26;40004
2020-06-17;Zamora;4191;301;61;63;312;1;32;49275
2020-06-18;Palencia;4100;273;55;36;312;0;34;34120
2020-06-18;Salamanca;6251;864;260;207;1087;5;57;37274
2020-06-19;Burgos;6349;623;171;109;1022;1;32;9059
2020-06-19;Salamanca;6263;867;260;207;1087;6;53;37274
2020-06-19;Segovia;2387;573;190;197;872;0;75;40004
2020-06-19;Soria;2169;332;109;93;732;1;64;42173
2020-04-08;Burgos;6737;181;49;79;70;446;559;9059
2020-04-08;Salamanca;6640;244;97;119;253;575;1142;37274
2020-04-08;Soria;2316;125;52;56;172;223;707;42173
2020-04-08;Valladolid;7264;260;72;107;348;226;539;47186
2020-04-09;Burgos;6711;200;50;85;70;453;562;9059
