CodMunicipio;Municipio;Casos PCR+;Tasa PCR+;Caso PCR+ 14 dias;Tasas PCR+14;Casos fallecidos;Tasa fallecidos
46112;Chulilla;1;15,04;0;0;0;0
46113;Daimús;2;6,42;0;0;1;3,21
46114;Domeño;3;42,37;0;0;0;0
46115;Dos Aguas;0;0;0;0;0;0
46116;Eliana (l');44;24,13;1;0,55;4;2,19
46117;Emperador;0;0;0;0;0;0
46118;Enguera;7;14,73;0;0;2;4,21
46119;Ènova (l');5;56,37;1;11,27;1;11,27
46120;Estivella;2;13,74;1;6,87;0;0
46121;Estubeny;0;0;0;0;0;0
46122;Faura;5;14,13;0;0;0;0
46123;Favara;32;127,08;0;0;3;11,91
46124;Fontanars dels Alforins;0;0;0;0;0;0
46125;Fortaleny;1;9,75;0;0;0;0
46126;Foios;7;9,5;1;1,36;1;1,36
46127;Font d'En Carròs (la);4;10,54;0;0;0;0
46128;Font de la Figuera (la);1;4,91;0;0;0;0
46129;Fuenterrobles;2;29,33;0;0;0;0
46130;Gavarda;2;19,27;0;0;0;0
46131;Gandia;86;11,53;1;0,13;6;0,8
46132;Genovés;2;7,04;0;0;0;0
46133;Gestalgar;0;0;0;0;0;0
46134;Gilet;3;9,03;0;0;0;0
46135;Godella;39;29,8;0;0;2;1,53
46136;Godelleta;6;16,98;0;0;0;0
46137;Granja de la Costera (la);0;0;0;0;0;0
46138;Guadasequies;0;0;0;0;0;0
46139;Guadassuar;19;32,24;1;1,7;1;1,7
46140;Guardamar de la Safor;0;0;0;0;0;0
46141;Higueruelas;0;0;0;0;0;0
46142;Jalance;27;325,3;2;24,1;8;96,39
46143;Xeraco;1;1,77;0;0;0;0
46144;Jarafuel;9;119,36;1;13,26;4;53,05
46145;Xàtiva;44;15,05;0;0;3;1,03
46146;Xeresa;0;0;0;0;0;0
46147;Llíria;40;17,2;1;0,43;4;1,72
46148;Loriguilla;2;9,88;0;0;1;4,94
46149;Losa del Obispo;0;0;0;0;0;0
46150;Llutxent;2;8,53;0;0;0;0
46151;Llocnou d'En Fenollet;2;21,83;0;0;0;0
46152;Llocnou de la Corona;0;0;0;0;0;0
46153;Llocnou de Sant Jeroni;0;0;0;0;0;0
46154;Llanera de Ranes;3;28,44;0;0;0;0
46155;Llaurí;0;0;0;0;0;0
