Fecha;Provincia;test_rapidos_total;test_rapidos_positivos;pcr_total;pcr_positivos;codigo_ine;total_pruebas;total_pruebas_positivas;test_porcentaje;pcr_porcentaje;porcentaje_total;sigla
2020-04-06;Salamanca;28;2;5212;2040;37274;5240;2042;7.142857142857142;39.14044512663085;38.969465648854964;SA
2020-04-06;Soria;8;3;1397;812;42173;1405;815;37.5;58.12455261274159;58.00711743772242;SO
2020-04-06;Zamora;64;5;1150;252;49275;1214;257;7.8125;21.913043478260867;21.16968698517298;ZA
2020-04-07;Ávila;132;16;2204;1138;5019;2336;1154;12.121212121212121;51.633393829401086;49.40068493150685;AV
2020-04-07;Zamora;95;10;1200;256;49275;1295;266;10.526315789473683;21.333333333333336;20.54054054054054;ZA
2020-04-08;Palencia;4;0;1001;317;34120;1005;317;0.0;31.668331668331668;31.542288557213933;PA
2020-04-08;Segovia;24;9;3475;1723;40004;3499;1732;37.5;49.58273381294964;49.49985710202915;SE
2020-04-08;Soria;49;11;1592;854;42173;1641;865;22.448979591836736;53.64321608040201;52.71176112126752;SO
2020-04-10;León;2175;203;5309;1635;24089;7484;1838;9.333333333333334;30.796760218496892;24.559059326563336;LE
2020-04-11;Salamanca;233;27;6505;2372;37274;6738;2399;11.587982832618025;36.46425826287471;35.60403680617394;SA
2020-04-11;Zamora;214;21;1450;284;49275;1664;305;9.813084112149532;19.586206896551726;18.329326923076923;ZA
2020-04-12;Burgos;1073;184;4199;1230;9059;5272;1414;17.148182665424045;29.29268873541319;26.820940819423367;BU
2020-04-13;Ávila;1545;173;2804;1296;5019;4349;1469;11.197411003236246;46.219686162624825;33.77787997240745;AV
2020-04-13;Soria;857;147;1887;918;42173;2744;1065;17.152858809801632;48.64864864864865;38.81195335276968;SO
2020-04-15;Zamora;407;42;1788;300;49275;2195;342;10.319410319410318;16.778523489932887;15.580865603644648;ZA
2020-04-18;Palencia;2502;146;1616;425;34120;4118;571;5.835331734612311;26.299504950495052;13.865954346770277;PA
2020-04-19;Ávila;3655;321;3416;1414;5019;7071;1735;8.78248974008208;41.39344262295082;24.536840616603026;AV
2020-04-20;Segovia;1086;277;5434;1873;40004;6520;2150;25.50644567219153;34.46816341553184;32.97546012269939;SE
2020-04-21;Castilla y León;39090;3392;60287;15937;99999;99377;19329;8.67741110258378;26.435218206246784;19.450174587681254;CyL
2020-04-23;Valladolid;5634;145;23188;4763;47186;28822;4908;2.5736599219027334;20.54079696394687;17.028658663520922;VA
2020-04-23;Zamora;1302;120;2420;336;49275;3722;456;9.216589861751153;13.884297520661157;12.251477700161203;ZA
2020-04-24;Castilla y León;47639;3994;69178;16571;99999;116817;20565;8.383887151283611;23.954147272254183;17.6044582552197;CyL
2020-04-25;Burgos;10063;652;7216;1631;9059;17279;2283;6.479181158700189;22.602549889135254;13.212570171884947;BU
2020-04-25;Valladolid;6351;160;24985;4810;47186;31336;4970;2.519288301054952;19.251550930558334;15.860352310441664;VA
2020-04-25;Castilla y León;48702;4068;71660;16703;99999;120362;20771;8.352839719108045;23.30867987719788;17.257107725029496;CyL
2020-04-27;Segovia;2189;519;6763;1899;40004;8952;2418;23.709456372772955;28.07925476859382;27.010723860589813;SE
2020-04-27;Zamora;2022;182;2750;343;49275;4772;525;9.000989119683481;12.472727272727273;11.001676445934619;ZA
2020-04-27;Castilla y León;52500;4318;77876;17104;99999;130376;21422;8.224761904761904;21.963120858801172;16.43093820948641;CyL
2020-04-28;Valladolid;7603;198;26800;4400;47186;34403;4598;2.6042351703275024;16.417910447761194;13.365113507542947;VA
2020-04-29;Palencia;5164;215;3740;743;34120;8904;958;4.163439194422928;19.86631016042781;10.759209344115005;PA
2020-04-29;Segovia;3288;612;8659;2278;40004;11947;2890;18.613138686131386;26.307887746852987;24.190173265254874;SE
2020-04-30;Burgos;12063;705;8653;1761;9059;20716;2466;5.844317333996518;20.351323240494626;11.903842440625603;BU
2020-04-30;Palencia;5282;218;4035;754;34120;9317;972;4.127224536160545;18.686493184634447;10.432542663947622;PA
2020-04-30;Castilla y León;66722;4999;86662;17502;99999;153384;22501;7.49228140643266;20.195702845537834;14.669717832368434;CyL
2020-05-01;Valladolid;8842;227;29675;4499;47186;38517;4726;2.5672924677674738;15.160909856781805;12.269906794402472;VA
2020-05-02;Ávila;6431;462;5429;1585;5019;11860;2047;7.183952728969056;29.195063547614662;17.259696458684655;AV
2020-05-02;Valladolid;9019;232;30014;4506;47186;39033;4738;2.572347266881029;15.012993936163124;12.138446955140521;VA
2020-05-02;Zamora;4358;349;3880;550;49275;8238;899;8.008260670032124;14.175257731958762;10.912842923039573;ZA
2020-05-03;León;15819;957;14642;2441;24089;30461;3398;6.049687085150768;16.671219778718754;11.155247693772365;LE
2020-05-03;Zamora;4366;349;3905;550;49275;8271;899;7.993586807146129;14.084507042253522;10.869302381815983;ZA
2020-05-03;Castilla y León;72990;5347;91794;17682;99999;164784;23029;7.32566104945883;19.26269690829466;13.975264588795028;CyL
