FECHA;GERENCIA;NOMBREGERENCIA;CS;CENTRO;FASE DESESCALADA;x_geo;y_geo;zbs_geo;PROVINCIA;Posición;MUNICIPIO
2020-05-13;1705;Gerencia de Palencia;170511;C.S. PALENCIA RURAL;Fase 0;-4.5447492;42.0232248;PALENCIA RURAL;Palencia;42.0232248,-4.5447492;FUENTES DE VALDEPERO/MONZON DE CAMPOS/VALDEOLMILLOS/VILLAUMBRALES/HUSILLOS/MAGAZ DE PISUERGA/PALENCIA/SANTA CECILIA DEL ALCOR/SOTO DE CERRATO/AUTILLA DEL PINO/GRIJOTA/VILLALOBON
2020-05-13;1705;Gerencia de Palencia;170512;C.S. PAREDES DE NAVA;Propuesta Fase 1;-4.7078451;42.1692388;PAREDES DE NAVA;Palencia;42.1692388,-4.7078451;BECERRIL DE CAMPOS/VALLE DEL RETORTILLO/FUENTES DE NAVA/PAREDES DE NAVA/RIBEROS DE LA CUEZA/VILLANUEVA DEL REBOLLAR/CARDEÑOSA DE VOLPEJERA/VILLAMUERA DE LA CUEZA
2020-05-13;1705;Gerencia de Palencia;170514;C.S. SALDAÑA;Fase 0;-4.7204164;42.560098;SALDAÑA;Palencia;42.560098,-4.7204164;AYUELA/BUSTILLO DE LA VEGA/POZA DE LA VEGA/RENEDO DE LA VEGA/TABANERA DE VALDAVIA/VALDERRABANO/VILLAELES DE VALDAVIA/VILLARRABE/VILLASILA DE VALDAVIA/PINO DEL RIO/PUEBLA DE VALDAVIA (LA)/QUINTANILLA DE ONSOÑA/RESPENDA DE LA PEÑA/SALDAÑA/VILLABASTA DE VALDAVIA/VILLOTA DEL PARAMO/BUENAVISTA DE VALDAVIA/CONGOSTO DE VALDAVIA/PEDROSA DE LA VEGA/SANTERVAS DE LA VEGA/VILLALUENGA DE LA VEGA
2020-05-13;1705;Gerencia de Palencia;170517;C.S. VENTA DE BAÑOS;Fase 0;-4.4303075;41.8572175;VENTA DE BAÑOS;Palencia;41.8572175,-4.4303075;CASTRILLO DE ONIELO/CUBILLAS DE CERRATO/DUEÑAS/POBLACION DE CERRATO/ALBA DE CERRATO/CEVICO DE LA TORRE/VERTAVILLO/HONTORIA DE CERRATO/TARIEGO DE CERRATO/VALLE DE CERRATO/VENTA DE BAÑOS
2020-05-13;1705;Gerencia de Palencia;170520;C.S. VILLAMURIEL DE CERRATO;Propuesta Fase 1;-4.5083248;41.9521254;VILLAMURIEL DE CERRATO;Palencia;41.9521254,-4.5083248;VILLAMURIEL DE CERRATO
2020-05-13;1706;Gerencia de Salamanca;170604;C.S. CALZADA VALDUNCIEL;Propuesta Fase 1;-5.7649621;41.1556443;CALZADA VALDUNCIEL;Salamanca;41.1556443,-5.7649621;SANTIZ/TOPAS/ARCO (EL)/CALZADA DE VALDUNCIEL/SAN PELAYO DE GUAREÑA/TORRESMENUDAS/ALDEARRODRIGO/AÑOVER DE TORMES/FORFOLEDA/PALACIOS DEL ARZOBISPO/VALDELOSA/VALDUNCIEL/ZAMAYON
2020-05-13;1706;Gerencia de Salamanca;170613;C.S. GUIJUELO;Fase 0;-5.6473268;40.5420836;GUIJUELO;Salamanca;40.5420836,-5.6473268;CABEZA DE BEJAR (LA)/FUENTERROBLE DE SALVATIERRA/GUIJO DE AVILA/PEROMINGO/PUEBLA DE SAN MEDEL/TALA (LA)/ALDEAVIEJA DE TORMES/CESPEDOSA DE TORMES/FRESNEDOSO/GALLEGOS DE SOLMIRON/GUIJUELO/NAVA DE BEJAR/NAVAMORALES/PIZARRAL/PUENTE DEL CONGOSTO/SANTOS (LOS)/BERROCAL DE SALVATIERRA/CALZADA DE DON DIEGO/CASAFRANCA/FUENTES DE BEJAR/LEDRADA/MONTEJO/SALVATIERRA DE TORMES/SANTIBAÑEZ DE BEJAR/SORIHUELA/VALDELACASA/VALVERDE DE VALDELACASA
2020-05-13;1706;Gerencia de Salamanca;170617;C.S. LINARES DE RIOFRIO;Fase 0;-5.8782411;40.6057622;LINARES DE RIOFRIO;Salamanca;40.6057622,-5.8782411;HERGUIJUELA DEL CAMPO/MEMBRIBE DE LA SIERRA/SAN ESTEBAN DE LA SIERRA/SAN MIGUEL DE VALERO/SIERPE (LA)/TORNADIZO (EL)/ENDRINAL/ESCURIAL DE LA SIERRA/FRADES DE LA SIERRA/LINARES DE RIOFRIO/MONLEON/BARBALOS/SANTIBAÑEZ DE LA SIERRA/VALERO
2020-05-13;1706;Gerencia de Salamanca;170622;C.S. PERIURBANA NORTE;Fase 0;-5.6415859;41.0249771;PERIURBANA NORTE;Salamanca;41.0249771,-5.6415859;ALDEALENGUA/ALDEARRUBIA/ALMENARA DE TORMES/CASTELLANOS DE MORISCOS/CASTELLANOS DE VILLIQUERA/MONTERRUBIO DE ARMUÑA/MORISCOS/SAN MORALES/VALVERDON/VILLARES DE LA REINA/JUZBADO/SAN CRISTOBAL DE LA CUESTA/CABRERIZOS/VILLAMAYOR
2020-05-13;1706;Gerencia de Salamanca;170623;C.S. PERIURBANO SUR;Fase 0;-5.773642;40.9106826;PERIURBANO SUR;Salamanca;40.9106826,-5.773642;ALDEATEJADA/ALDEAVIEJA DE TORMES/CARBAJOSA DE LA SAGRADA/MONTERRUBIO DE LA SIERRA/PINO DE TORMES (EL)/SALAMANCA/SAN PEDRO DEL VALLE/VEGA DE TIRADOS/ZARAPICOS/DOÑINOS DE SALAMANCA/GALINDO Y PERAHUY/GOLPEJAS/MIRANDA DE AZAN/ROLLAN/ARAPILES/BARBADILLO/CARRASCAL DE BARREGAS/MORILLE/MOZARBEZ/PARADA DE ARRIBA/SAN PEDRO DE ROZADOS
2020-05-13;1706;Gerencia de Salamanca;170628;C.S. SANTA MARTA DE TORMES;Fase 0;-5.5307167;40.9275702;SANTA MARTA DE TORMES;Salamanca;40.9275702,-5.5307167;PELABRAVO/CALVARRASA DE ABAJO/CALVARRASA DE ARRIBA/ENCINAS DE ABAJO/MACHACON/SANTA MARTA DE TORMES/VILLAGONZALO DE TORMES
2020-05-13;1706;Gerencia de Salamanca;170633;C.S. VILLORIA;Fase 0;-5.3715956;41.0345487;VILLORIA;Salamanca;41.0345487,-5.3715956;ARABAYONA DE MOGICA/BABILAFUENTE/CANTALPINO/PEDROSO DE LA ARMUÑA (EL)/CORDOVILLA/MORIÑIGO/VILLORUELA
2020-05-13;1706;Gerencia de Salamanca;170635;C.S. UNIVERSIDAD CENTRO;Fase 0;-5.6668451;40.9635604;UNIVERSIDAD CENTRO;Salamanca;40.9635604,-5.6668451;SALAMANCA
2020-05-13;1707;Gerencia de Segovia;170703;C.S. CUELLAR;Fase 0;-4.3165518;41.3472504;CUELLAR;Segovia;41.3472504,-4.3165518;FRESNEDA DE CUELLAR/VALLELADO/CHAÑE/GOMEZSERRACIN/OLOMBRADA/PINAREJOS/SANCHONUÑO/CUELLAR/FRUMALES/SAMBOAL/SAN CRISTOBAL DE CUELLAR
2020-05-13;1707;Gerencia de Segovia;170705;C.S. NAVAFRIA;Propuesta Fase 1;-3.7774351;41.0988251;NAVAFRIA;Segovia;41.0988251,-3.7774351;ARCONES/CASLA/GALLEGOS/MATABUENA/OREJANA/PELAYOS DEL ARROYO/SANTIUSTE DE PEDRAZA/SANTO TOME DEL PUERTO/NAVAFRIA/PEDRAZA/PRADENA/SOTOSALBOS/TORRE VAL DE SAN PEDRO/ALDEALENGUA DE PEDRAZA/ARAHUETES/COLLADO HERMOSO
2020-05-13;1707;Gerencia de Segovia;170713;C.S. VILLACASTIN;Fase 0;-4.4085747;40.7829124;VILLACASTIN;Segovia;40.7829124,-4.4085747;MAELLO/MONTERRUBIO/VEGAS DE MATUTE/VILLACASTIN/NAVAS DE SAN ANTONIO/VALDEPRADOS/ZARZUELA DEL MONTE/ITUERO Y LAMA/LABAJOS
2020-05-13;1707;Gerencia de Segovia;170714;C.S. EL ESPINAR;Fase 0;-4.2225274;40.7307872;EL ESPINAR;Segovia;40.7307872,-4.2225274;ESPINAR (EL)
2020-05-13;1708;Gerencia de Soria;170801;C.S. AGREDA;Fase 0;-1.9990845;41.8696333;AGREDA;Soria;41.8696333,-1.9990845;CASTILRUIZ/DEVANOS/VOZMEDIANO/AGREDA/CIGUDOSA/MAGAÑA/TREVAGO/VALDELAGUA DEL CERRO/FUENTESTRUN/MATALEBRERAS/SAN FELICES
2020-05-13;1708;Gerencia de Soria;170805;C.S. EL BURGO DE OSMA;Fase 0;-3.0173364;41.5822815;EL BURGO DE OSMA;Soria;41.5822815,-3.0173364;BLACOS/FRESNO DE CARACENA/GORMAZ/RECUERDA/RIOSECO DE SORIA/UCERO/VALDENEBRO/BURGO DE OSMA-CIUDAD DE OSMA/CARRASCOSA DE ABAJO/NAFRIA DE UCERO/QUINTANAS DE GORMAZ/VALDEMALUQUE/TORREBLACOS/VILLANUEVA DE GORMAZ
2020-05-13;1708;Gerencia de Soria;170807;C.S. GOMARA;Fase 0;-2.1536023;41.5519374;GOMARA;Soria;41.5519374,-2.1536023;ALMAZUL/GOMARA/VELILLA DE LOS AJOS/BLIECOS/CARABANTES/FUENTELMONGE/MAJAN/QUIÑONERIA/REZNOS/SERON DE NAGIMA/TORLENGUA/VILLASECA DE ARCIEL/ALMENAR DE SORIA/CAÑAMAQUE/CIHUELA/DEZA/TEJADO/TORRUBIA DE SORIA
2020-05-13;1708;Gerencia de Soria;170809;C.S. PINARES-COVALEDA;Fase 0;-2.819235;41.9661517;PINARES-COVALEDA;Soria;41.9661517,-2.819235;COVALEDA/DURUELO DE LA SIERRA/MOLINOS DE DUERO/MONTENEGRO DE CAMEROS/VINUESA/SALDUERO
2020-05-13;1708;Gerencia de Soria;170813;C.S. SORIA NORTE;Fase 0;-2.4772902;41.7676962;SORIA NORTE;Soria;41.7676962,-2.4772902;SORIA
2020-05-13;1708;Gerencia de Soria;170814;C.S. SORIA SUR;Fase 0;-2.4659611;41.7606339;SORIA SUR;Soria;41.7606339,-2.4659611;RABANOS (LOS)/SORIA
2020-05-13;1709;Gerencia de Valladolid Oeste;170906;C.S. PLAZA DEL EJERCITO;Fase 0;-4.7383372;41.6365797;PLAZA DEL EJERCITO;Valladolid;41.6365797,-4.7383372;VALLADOLID
2020-05-13;1709;Gerencia de Valladolid Oeste;170909;C.S. LAGUNA DE DUERO;Fase 0;-4.7293581;41.5472386;LAGUNA DE DUERO;Valladolid;41.5472386,-4.7293581;BOECILLO/LAGUNA DE DUERO/VIANA DE CEGA
2020-05-13;1709;Gerencia de Valladolid Oeste;170913;C.S. MEDINA DE RIOSECO;Fase 0;-5.0000709;41.858445;MEDINA DE RIOSECO;Valladolid;41.858445,-5.0000709;CASTROMONTE/MEDINA DE RIOSECO/MUDARRA (LA)/VILLANUEVA DE SAN MANCIO/MONTEALEGRE DE CAMPOS/MORAL DE LA REINA/TAMARIZ DE CAMPOS/BERRUECES/VALDENEBRO DE LOS VALLES/VALVERDE DE CAMPOS/VILLABRAGIMA/VILLALBA DE LOS ALCORES
2020-05-13;1709;Gerencia de Valladolid Oeste;170915;C.S. PARQUESOL;Fase 0;-4.7609774;41.6353453;PARQUESOL;Valladolid;41.6353453,-4.7609774;VALLADOLID
2020-05-13;1709;Gerencia de Valladolid Oeste;170924;C.S. VILLAFRECHOS;Propuesta Fase 1;-5.2179261;41.8799318;VILLAFRECHOS;Valladolid;41.8799318,-5.2179261;AGUILAR DE CAMPOS/POZUELO DE LA ORDEN/VILLAFRECHOS/BARCIAL DE LA LOMA/BOLAÑOS DE CAMPOS/PALAZUELO DE VEDIJA/TORDEHUMOS/VILLAMURIEL DE CAMPOS/CABREROS DEL MONTE/MORALES DE CAMPOS/SANTA EUFEMIA DEL ARROYO/VILLAGARCIA DE CAMPOS/VILLANUEVA DE LOS CABALLEROS
2020-05-13;1709;Gerencia de Valladolid Oeste;170928;C.S. DELICIAS II;Fase 0;-4.7327299;41.6090563;DELICIAS II;Valladolid;41.6090563,-4.7327299;VALLADOLID
2020-05-13;1710;Gerencia de Valladolid Este;171003;C.S. CIRCUNVALACION;Fase 0;-4.6758644;41.6546802;CIRCUNVALACION;Valladolid;41.6546802,-4.6758644;VALLADOLID
2020-05-13;1710;Gerencia de Valladolid Este;171006;C.S. ISCAR;Fase 0;-4.5398679;41.3527561;ISCAR;Valladolid;41.3527561,-4.5398679;COGECES DE ISCAR/FUENTE EL OLMO DE ISCAR/PEDRAJAS DE SAN ESTEBAN/MATA DE CUELLAR/MEGECES/VILLAVERDE DE ISCAR/ISCAR/REMONDO
2020-05-13;1710;Gerencia de Valladolid Este;171009;C.S. PILARICA;Fase 0;-4.7114053;41.6545997;PILARICA;Valladolid;41.6545997,-4.7114053;VALLADOLID
2020-05-13;1710;Gerencia de Valladolid Este;171010;C.S. CIRCULAR;Fase 0;-4.7175863;41.6487178;CIRCULAR;Valladolid;41.6487178,-4.7175863;VALLADOLID
2020-05-13;1710;Gerencia de Valladolid Este;171012;C.S. RONDILLA II;Fase 0;-4.7205359;41.664046;RONDILLA II;Valladolid;41.664046,-4.7205359;VALLADOLID
2020-05-13;1710;Gerencia de Valladolid Este;171014;C.S. SAN PABLO;Fase 0;-4.7265359;41.6561919;SAN PABLO;Valladolid;41.6561919,-4.7265359;VALLADOLID
2020-05-13;1710;Gerencia de Valladolid Este;171015;C.S. PEÑAFIEL;Fase 0;-4.1875837;41.5834053;PEÑAFIEL;Valladolid;41.5834053,-4.1875837;CURIEL DE DUERO/LANGAYO/PEÑAFIEL/RABANO/SAN LLORENTE/VALBUENA DE DUERO/BOCOS DE DUERO/CAMPASPERO/CANALEJAS DE PEÑAFIEL/CASTRILLO DE DUERO/COGECES DEL MONTE/MANZANILLO/PIÑEL DE ABAJO/PIÑEL DE ARRIBA/QUINTANILLA DE ARRIBA/BAHABON/CORRALES DE DUERO/FOMPEDRAZA/OLMOS DE PEÑAFIEL/PESQUERA DE DUERO/TORRE DE PEÑAFIEL/TORRESCARCELA/VALDEARCOS DE LA VEGA
2020-05-13;1710;Gerencia de Valladolid Este;171016;C.S. PORTILLO;Fase 0;-4.5726832;41.4774359;PORTILLO;Valladolid;41.4774359,-4.5726832;CAMPORREDONDO/MONTEMAYOR DE PILILLA/PEDRAJA DE PORTILLO (LA)/SAN MIGUEL DEL ARROYO/VILORIA/ALDEA DE SAN MIGUEL/ALDEAMAYOR DE SAN MARTIN/MOJADOS/PORTILLO
